UF,Ano,CD_Municipio,Municipio,Zona,Tipo_Problema,Detalhe,Votos_Afetados,Pct_Votos_Municipio
AM,2000,98370,ITAMARATI,21,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: CARAUARI,2806,100.0
AM,2004,2372,SANTA ISABEL DO RIO NEGRO,30,MUNICIPIO_SEM_ZONA_2006,Municipio existe em 2006 mas sem esta zona,3590,100.0
BA,2000,34371,CARAVELAS,112,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ALCOBAÇA, PRADO",9941,100.0
BA,2000,35998,ITACARÉ,198,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: URUÇUCA,6344,100.0
BA,2000,36870,LENÇÓIS,89,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: PALMEIRAS,3953,100.0
CE,2000,13404,BARROQUINHA,32,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: CAMOCIM,9239,100.0
CE,2000,15911,FORQUILHA,24,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ALCÂNTARAS, SOBRAL",10700,100.0
CE,2000,13064,GRAÇA,22,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: CARNAUBAL, SÃO BENEDITO",7185,100.0
CE,2000,13340,IPAPORANGA,48,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ARARENDÁ, NOVA RUSSAS",6308,100.0
CE,2000,13021,MADALENA,11,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: QUIXERAMOBIM,7541,100.0
CE,2000,15130,PENAFORTE,70,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: BREJO SANTO,4358,100.0
CE,2000,13269,POTIRETAMA,95,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ERERÉ, IRACEMA",3476,100.0
CE,2000,13102,QUITERIANÓPOLIS,39,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: INDEPENDÊNCIA,10568,100.0
CE,2000,98558,UMIRIM,23,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: TURURU, URUBURETAMA",9365,100.0
GO,2000,93343,AGUAS LINDAS,139,MUNICIPIO_INEXISTENTE_2006,Municipio nao encontrado na base 2006 (nome/criacao),26005,100.0
GO,2000,92940,ALTO HORIZONTE,88,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: AMARALINA, MARA ROSA",2145,100.0
GO,2000,93122,CALDAZINHA,32,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: BELA VISTA DE GOIÁS,2082,100.0
GO,2000,92924,CHAPADÃO DO CÉU,96,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: APORÉ, ITAJÁ, LAGOA SANTA",1853,100.0
GO,2000,93025,CIDADE OCIDENTAL,19,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: LUZIÂNIA,17428,100.0
GO,2000,92126,COLINAS DO SUL,143,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ALTO PARAÍSO DE GOIÁS, SÃO JOÃO D ALIANÇA",2958,100.0
