aa_eleicao;UF;cd_cargo;ds_cargo;qt_votos_validos_qe;qt_vagas_qe;vr_quociente_eleitoral;ds_composicao_coligacao;Votos válidos composição;Vagas QP;Eleitas e eleitos por QP;Eleitas e eleitos por média
2002;AC;6;Deputado Federal;266661;8;33333;PDT / PTB / PPS;50304;1;1;0
2002;AC;6;Deputado Federal;266661;8;33333;PMDB / PSDB / PPB / PFL / PST;79384;2;2;1
2002;AC;6;Deputado Federal;266661;8;33333;PT / PV / PT do B / PMN / PC do B / PL / PSDC;116293;3;3;1
2002;AC;7;Deputado Estadual;278197;24;11592;PDT / PPS;27910;2;2;0
2002;AC;7;Deputado Estadual;278197;24;11592;PL / PV;21281;1;1;1
2002;AC;7;Deputado Estadual;278197;24;11592;PMDB / PFL / PST;39080;3;3;0
2002;AC;7;Deputado Estadual;278197;24;11592;PSB / PSC;22814;1;1;1
2002;AC;7;Deputado Estadual;278197;24;11592;PSDB / PPB;39765;3;3;1
2002;AC;7;Deputado Estadual;278197;24;11592;PSDC / PT do B;22755;1;1;1
2002;AC;7;Deputado Estadual;278197;24;11592;PT / PC do B / PMN;88258;7;7;2
2002;AL;6;Deputado Federal;1165608;9;129512;PMDB / PSDB;209355;1;1;1
2002;AL;6;Deputado Federal;1165608;9;129512;PSB / PAN / PSC / PHS / PST / PTC / PSDC / PV / PRP / PRONA / PGT / PSL;253468;1;1;1
2002;AL;6;Deputado Federal;1165608;9;129512;PT / PC do B / PL / PMN;156099;1;1;0
2002;AL;6;Deputado Federal;1165608;9;129512;PTB / PPS / PPB / PFL;454605;3;3;1
2002;AL;7;Deputado Estadual;1172323;27;43419;PDT;56296;1;1;0
2002;AL;7;Deputado Estadual;1172323;27;43419;PMN;46967;1;1;0
2002;AL;7;Deputado Estadual;1172323;27;43419;PRTB / PTB / PPS / PPB / PFL;373164;8;8;2
2002;AL;7;Deputado Estadual;1172323;27;43419;PSB / PRP / PGT / PSL / PV;257518;5;5;1
2002;AL;7;Deputado Estadual;1172323;27;43419;PSDB;104931;2;2;0
2002;AL;7;Deputado Estadual;1172323;27;43419;PSDC / PRONA / PTC / PAN / PHS / PSC;50041;1;1;0
2002;AL;7;Deputado Estadual;1172323;27;43419;PT / PL / PC do B;169614;3;3;1
2002;AL;7;Deputado Estadual;1172323;27;43419;PT do B;89825;2;2;0
2002;AM;6;Deputado Federal;1148892;8;143612;PFL / PPS / PTB / PSL / PTN / PSC / PRP;579856;4;4;0
2002;AM;6;Deputado Federal;1148892;8;143612;PT / PC do B / PL / PST / PCB / PRTB / PMN / PT do B;510994;3;3;1
2002;AM;7;Deputado Estadual;1151970;24;47999;PFL / PPS / PTB / PTN / PSC / PSDC;435470;9;9;2
2002;AM;7;Deputado Estadual;1151970;24;47999;PL / PST / PRTB;251517;5;5;1
2002;AM;7;Deputado Estadual;1151970;24;47999;PMDB;125173;2;2;1
2002;AM;7;Deputado Estadual;1151970;24;47999;PSDB;53412;1;1;0
2002;AM;7;Deputado Estadual;1151970;24;47999;PSL / PSD / PDT / PRP;75462;1;1;0
2002;AM;7;Deputado Estadual;1151970;24;47999;PT / PC do B / PCB / PMN / PT do B;107836;2;2;0
2002;AP;6;Deputado Federal;236535;8;29567;PDT / PTB / PT do B / PAN / PSD / PPS / PPB / PRTB / PSL ;99473;3;3;1
2002;AP;6;Deputado Federal;236535;8;29567;PMDB / PFL / PSDB ;40166;1;1;0
2002;AP;6;Deputado Federal;236535;8;29567;PSB / PRP;41760;1;1;0
2002;AP;6;Deputado Federal;236535;8;29567;PT / PL / PC do B / PMN / PCB / PSC / PHS / PST / PV / PRONA ;54349;1;1;1
2002;AP;7;Deputado Estadual;240960;24;10040;PDT / PPB / PSD ;53849;5;5;0
2002;AP;7;Deputado Estadual;240960;24;10040;PL;19051;1;1;1
2002;AP;7;Deputado Estadual;240960;24;10040;PMDB / PFL / PSDB ;48368;4;4;1
2002;AP;7;Deputado Estadual;240960;24;10040;PSB / PRP;36198;3;3;1
2002;AP;7;Deputado Estadual;240960;24;10040;PT / PC do B / PMN / PCB / PRONA ;31105;3;3;0
2002;AP;7;Deputado Estadual;240960;24;10040;PTB / PT do B / PRTB / PAN / PSL / PPS ;28349;2;2;1
2002;AP;7;Deputado Estadual;240960;24;10040;PV / PSC / PST / PHS ;23319;2;2;0
2002;BA;6;Deputado Federal;5956123;39;152721;PDT / PPS / PSDC / PSD / PHS / PRP / PT do B;316071;2;2;0
2002;BA;6;Deputado Federal;5956123;39;152721;PFL / PPB / PTB / PTN / PST ;2969834;19;19;3
2002;BA;6;Deputado Federal;5956123;39;152721;PMDB / PSC;508448;3;3;0
2002;BA;6;Deputado Federal;5956123;39;152721;PSDB;358734;2;2;0
2002;BA;6;Deputado Federal;5956123;39;152721;PT / PC do B / PV / PMN;1462215;9;9;1
2002;BA;7;Deputado Estadual;5898001;63;93619;PDT / PPS / PSDC / PSD / PHS / PRP / PT do B;582212;6;6;0
2002;BA;7;Deputado Estadual;5898001;63;93619;PFL / PTB;1795849;19;19;1
2002;BA;7;Deputado Estadual;5898001;63;93619;PGT / PSB;235767;2;2;0
2002;BA;7;Deputado Estadual;5898001;63;93619;PL;370576;3;3;1
2002;BA;7;Deputado Estadual;5898001;63;93619;PMDB / PSC;361913;3;3;1
2002;BA;7;Deputado Estadual;5898001;63;93619;PPB;646221;6;6;1
2002;BA;7;Deputado Estadual;5898001;63;93619;PSDB;274831;2;2;1
2002;BA;7;Deputado Estadual;5898001;63;93619;PST / PTN;345947;3;3;1
2002;BA;7;Deputado Estadual;5898001;63;93619;PT / PC do B / PV / PMN;1187751;12;12;1
2002;CE;6;Deputado Federal;3628331;22;164924;PDT  / PTN / PPS;278185;1;1;0
2002;CE;6;Deputado Federal;3628331;22;164924;PMDB / PFL ;1124676;6;6;1
2002;CE;6;Deputado Federal;3628331;22;164924;PSDB / PPB / PSD / PV ;1278367;7;7;2
2002;CE;6;Deputado Federal;3628331;22;164924;PT / PC do B / PL / PMN / PCB;816554;4;4;1
2002;CE;7;Deputado Estadual;3605815;46;78387;PAN / PT do B / PSL / PSC / PSDC / PRTB;83323;1;1;0
2002;CE;7;Deputado Estadual;3605815;46;78387;PC do B / PCB;119430;1;1;0
2002;CE;7;Deputado Estadual;3605815;46;78387;PDT;84401;1;1;0
2002;CE;7;Deputado Estadual;3605815;46;78387;PHS;172722;2;2;0
2002;CE;7;Deputado Estadual;3605815;46;78387;PL;213412;2;2;1
2002;CE;7;Deputado Estadual;3605815;46;78387;PMDB / PFL ;432751;5;5;1
2002;CE;7;Deputado Estadual;3605815;46;78387;PPB;185750;2;2;0
2002;CE;7;Deputado Estadual;3605815;46;78387;PPS / PTN;290905;3;3;1
2002;CE;7;Deputado Estadual;3605815;46;78387;PSB;156376;1;1;1
2002;CE;7;Deputado Estadual;3605815;46;78387;PSDB / PSD / PV ;1258993;16;16;2
2002;CE;7;Deputado Estadual;3605815;46;78387;PST;98557;1;1;0
2002;CE;7;Deputado Estadual;3605815;46;78387;PT;376791;4;4;1
2002;DF;6;Deputado Federal;1220576;8;152572;PCB / PC do B / PMN / PT;423108;2;2;1
2002;DF;6;Deputado Federal;1220576;8;152572;PFL / PMDB / PRP / PSD / PSDB;694305;4;4;1
2002;DF;8;Deputado Distrital;1231238;24;51302;PAN / PPB / PTC / PTN;112255;2;2;0
2002;DF;8;Deputado Distrital;1231238;24;51302;PCB / PC do B / PMN / PT;270410;5;5;1
2002;DF;8;Deputado Distrital;1231238;24;51302;PFL;119492;2;2;0
2002;DF;8;Deputado Distrital;1231238;24;51302;PHS / PSB / PV;54798;1;1;0
2002;DF;8;Deputado Distrital;1231238;24;51302;PL / PRTB;88450;1;1;1
2002;DF;8;Deputado Distrital;1231238;24;51302;PMDB / PSDB / PST;250306;4;4;2
2002;DF;8;Deputado Distrital;1231238;24;51302;PPS;62704;1;1;0
2002;DF;8;Deputado Distrital;1231238;24;51302;PRP / PSD;120924;2;2;1
2002;DF;8;Deputado Distrital;1231238;24;51302;PTB / PSDC / PRONA / PT do B;76930;1;1;0
2002;ES;6;Deputado Federal;1652841;10;165284;PDT / PTB / PST / PSDC / PRP;348250;2;2;0
2002;ES;6;Deputado Federal;1652841;10;165284;PPB / PMDB / PSDB ;650432;3;3;2
2002;ES;6;Deputado Federal;1652841;10;165284;PSB / PSD / PSC / PRONA / PT do B / PV / PAN / PSL / PHS;210465;1;1;0
2002;ES;6;Deputado Federal;1652841;10;165284;PT / PL / PMN / PC do B ;287004;1;1;1
2002;ES;7;Deputado Estadual;1657886;30;55263;PDT / PTB / PST / PSDC / PRP;260450;4;4;1
2002;ES;7;Deputado Estadual;1657886;30;55263;PFL / PRTB / PGT / PTC;298896;5;5;0
2002;ES;7;Deputado Estadual;1657886;30;55263;PPB / PMDB / PSDB ;406202;7;7;1
2002;ES;7;Deputado Estadual;1657886;30;55263;PPS;114206;2;2;0
2002;ES;7;Deputado Estadual;1657886;30;55263;PSB / PSD / PV / PT do B ;146147;2;2;0
2002;ES;7;Deputado Estadual;1657886;30;55263;PSL / PSC / PAN / PHS / PRONA;60500;1;1;0
2002;ES;7;Deputado Estadual;1657886;30;55263;PT / PL / PMN / PC do B ;368733;6;6;1
2002;GO;6;Deputado Federal;2610673;17;153569;PMDB;563476;3;3;1
2002;GO;6;Deputado Federal;2610673;17;153569;PPB / PSC / PFL / PAN / PSDC / PRP / PSDB ;1535216;9;9;2
2002;GO;6;Deputado Federal;2610673;17;153569;PT / PTN / PCB / PMN / PV / PC do B / PT do B;359631;2;2;0
2002;GO;7;Deputado Estadual;2624528;41;64013;/ PSC / PHS / PSD;113981;1;1;0
2002;GO;7;Deputado Estadual;2624528;41;64013;PDT / PPS;123553;1;1;1
2002;GO;7;Deputado Estadual;2624528;41;64013;PGT / PTC / PSB;64108;1;1;0
2002;GO;7;Deputado Estadual;2624528;41;64013;PL;109006;1;1;0
2002;GO;7;Deputado Estadual;2624528;41;64013;PMDB;514096;8;8;1
2002;GO;7;Deputado Estadual;2624528;41;64013;PPB / PFL / PSDB ;1107717;17;17;2
2002;GO;7;Deputado Estadual;2624528;41;64013;PSL / PST / PAN / PSDC / PRTB / PRP;203041;3;3;0
2002;GO;7;Deputado Estadual;2624528;41;64013;PT / PV / PC do B;293596;4;4;1
2002;MA;6;Deputado Federal;2427031;18;134835;PFL / PST / PSDC / PSC / PMDB / PSD / PV;1120715;8;8;1
2002;MA;6;Deputado Federal;2427031;18;134835;PL / PT / PMN / PC do B;253939;1;1;1
2002;MA;6;Deputado Federal;2427031;18;134835;PPB / PDT / PTB / PTN / PPS / PAN;544574;4;4;0
2002;MA;6;Deputado Federal;2427031;18;134835;PSB;149541;1;1;0
2002;MA;6;Deputado Federal;2427031;18;134835;PSDB;307370;2;2;0
2002;MA;7;Deputado Estadual;2417261;42;57554;PDT / PTB;370900;6;6;1
2002;MA;7;Deputado Estadual;2417261;42;57554;PFL / PST;753363;13;13;1
2002;MA;7;Deputado Estadual;2417261;42;57554;PL / PT / PMN / PC do B;199863;3;3;0
2002;MA;7;Deputado Estadual;2417261;42;57554;PPS / PTN / PPB / PAN;132780;2;2;0
2002;MA;7;Deputado Estadual;2417261;42;57554;PSB;93282;1;1;0
2002;MA;7;Deputado Estadual;2417261;42;57554;PSD / PSC / PSDC / PV / PMDB;554392;9;9;1
2002;MA;7;Deputado Estadual;2417261;42;57554;PSDB;190579;3;3;0
2002;MA;7;Deputado Estadual;2417261;42;57554;PT do B / PGT / PHS / PTC / PRTB / PSL;114214;1;1;1
2002;MG;6;Deputado Federal;9605817;53;181242;PDT / PPS;842348;4;4;1
2002;MG;6;Deputado Federal;9605817;53;181242;PMDB;1144079;6;6;0
2002;MG;6;Deputado Federal;9605817;53;181242;PSB;327570;1;1;0
2002;MG;6;Deputado Federal;9605817;53;181242;PSDB / PFL / PPB / PSL / PAN;3310387;18;18;2
2002;MG;6;Deputado Federal;9605817;53;181242;PST / PSC / PSDC / PSD / PRP / PT do B;467962;2;2;0
2002;MG;6;Deputado Federal;9605817;53;181242;PT / PC do B / PMN / PL;2803156;15;15;1
2002;MG;6;Deputado Federal;9605817;53;181242;PTB;377075;2;2;0
2002;MG;6;Deputado Federal;9605817;53;181242;PV / PTN / PRTB / PHS;289507;1;1;0
2002;MG;7;Deputado Estadual;9563911;77;124207;PDT;686313;5;5;0
2002;MG;7;Deputado Estadual;9563911;77;124207;PMDB;1074410;8;8;1
2002;MG;7;Deputado Estadual;9563911;77;124207;PPS;305229;2;2;0
2002;MG;7;Deputado Estadual;9563911;77;124207;PSB;440117;3;3;0
2002;MG;7;Deputado Estadual;9563911;77;124207;PSDB / PFL / PPB / PSL / PAN;2556548;20;20;2
2002;MG;7;Deputado Estadual;9563911;77;124207;PST / PSC / PSDC / PSD / PRP / PT do B;493598;3;3;1
2002;MG;7;Deputado Estadual;9563911;77;124207;PT / PL / PC do B;2715788;21;21;2
2002;MG;7;Deputado Estadual;9563911;77;124207;PTB;693936;5;5;1
2002;MG;7;Deputado Estadual;9563911;77;124207;PV / PTN / PRTB / PHS;417277;3;3;0
2002;MS;6;Deputado Federal;1095345;8;136918;PDT / PPS;142069;1;1;0
2002;MS;6;Deputado Federal;1095345;8;136918;PMDB / PRTB / PSDB;308150;2;2;0
2002;MS;6;Deputado Federal;1095345;8;136918;PPB / PTB / PST / PFL / PHS / PT do B;263229;1;1;1
2002;MS;6;Deputado Federal;1095345;8;136918;PT / PSL / PTN / PSC / PL / PSDC / PSD / PC do B;365077;2;2;1
2002;MS;7;Deputado Estadual;1096824;24;45701;PDT / PPS;169215;3;3;1
2002;MS;7;Deputado Estadual;1096824;24;45701;PHS / PT do B / PST;69428;1;1;0
2002;MS;7;Deputado Estadual;1096824;24;45701;PMDB / PRTB / PSDB;276275;6;6;0
2002;MS;7;Deputado Estadual;1096824;24;45701;PMN / PV;61101;1;1;0
