Ano,UF,CD_TSE,Cidade,CD_IBGE,Identidade_Ano,Status,N_Secoes
1998,AL,27065,JEQUIA DA PRAIA,2703759,2000,REATRIBUIDO,12
1998,BA,30007,LUIS EDUARDO MAGALHAES,2919553,2000,REATRIBUIDO,14
1998,BA,30775,BARROCAS,2903276,2000,REATRIBUIDO,35
1998,ES,56308,GOVERNADOR LINDENBERG,3202256,2000,REATRIBUIDO,17
1998,GO,93548,IPIRANGA DE GOIAS,5210158,2000,REATRIBUIDO,7
1998,GO,93564,GAMELEIRA DE GOIAS,5208152,2000,REATRIBUIDO,3
1998,GO,93580,CAMPO LIMPO DE GOIAS,5204854,2000,REATRIBUIDO,9
1998,GO,93602,LAGOA SANTA,5212253,2000,REATRIBUIDO,3
1998,MS,55050,PARAÍSO DAS ÁGUAS,5006275,2012,REATRIBUIDO,4
1998,MS,55069,FIGUEIRAO,5003900,2004,AUSENTE_SEM_SECOES,0
1998,MT,89788,COLNIZA,5103254,2000,REATRIBUIDO,8
1998,MT,90905,BOM JESUS DO ARAGUAIA,5101852,2000,REATRIBUIDO,4
1998,MT,90921,SERRA NOVA DOURADA,5107883,2000,REATRIBUIDO,3
1998,MT,90948,NOVO SANTO ANTONIO,5106315,2000,REATRIBUIDO,2
1998,MT,90964,NOVA NAZARE,5106174,2000,REATRIBUIDO,3
1998,MT,90980,SANTA CRUZ DO XINGU,5107743,2000,REATRIBUIDO,3
1998,MT,91006,CONQUISTA D OESTE,,2000,REATRIBUIDO,5
1998,MT,91022,VALE DE SAO DOMINGOS,5108352,2000,REATRIBUIDO,7
1998,MT,91049,SANTA RITA DO TRIVELATO,5107768,2000,REATRIBUIDO,2
1998,MT,91081,IPIRANGA DO NORTE,5104526,2004,AUSENTE_SEM_SECOES,0
1998,MT,91103,ITANHANGA,5104542,2004,AUSENTE_SEM_SECOES,0
1998,PA,4863,MOJUÍ DOS CAMPOS,1504752,2012,AUSENTE_SEM_SECOES,0
1998,PI,12726,NAZÁRIA,2206720,2008,REATRIBUIDO,15
1998,PI,12734,AROEIRAS DO ITAIM,2200954,2004,REATRIBUIDO,6
1998,RJ,58467,MESQUITA,3302858,2000,REATRIBUIDO,274
1998,RS,88986,ACEGUA,4300034,2000,REATRIBUIDO,10
1998,RS,89001,ALMIRANTE TAMANDARE DO SUL,4300471,2000,REATRIBUIDO,6
1998,RS,89028,ARROIO DO PADRE,4301073,2000,REATRIBUIDO,9
1998,RS,89044,BOA VISTA DO CADEADO,4302220,2000,REATRIBUIDO,6
1998,RS,89060,BOA VISTA DO INCRA,4302238,2000,REATRIBUIDO,7
1998,RS,89087,BOZANO,4302584,2000,REATRIBUIDO,8
1998,RS,89109,CANUDOS DO VALE,4304614,2000,REATRIBUIDO,9
1998,RS,89125,CAPAO BONITO DO SUL,4304622,2000,REATRIBUIDO,7
1998,RS,89141,CAPAO DO CIPO,4304655,2004,REATRIBUIDO,10
1998,RS,89168,COQUEIRO BAIXO,4305835,2000,AUSENTE_SO_AMBIGUAS,0
1998,RS,89184,CORONEL PILAR,4305934,2000,REATRIBUIDO,11
1998,RS,89206,CRUZALTENSE,4306130,2000,AUSENTE_SO_AMBIGUAS,0
1998,RS,89222,FORQUETINHA,4308433,2000,REATRIBUIDO,6
1998,RS,89247,SANTA CECILIA DO SUL,4316733,2000,REATRIBUIDO,8
1998,RS,89249,ITATI,4310652,2000,REATRIBUIDO,11
1998,RS,89265,JACUIZINHO,4310876,2000,REATRIBUIDO,5
1998,RS,89281,LAGOA BONITA DO SUL,4311239,2000,REATRIBUIDO,11
1998,RS,89303,MATO QUEIMADO,4312179,2000,AUSENTE_SO_AMBIGUAS,0
1998,RS,89320,NOVO XINGU,4313466,2000,REATRIBUIDO,3
1998,RS,89346,PAULO BENTO,4314134,2000,REATRIBUIDO,6
1998,RS,89362,PINHAL DA SERRA,4314464,2000,AUSENTE_SO_AMBIGUAS,0
1998,RS,89389,QUATRO IRMAOS,4315313,2000,REATRIBUIDO,2
1998,RS,89400,ROLADOR,4315958,2000,REATRIBUIDO,11
1998,RS,89443,SANTA MARGARIDA DO SUL,4316972,2000,REATRIBUIDO,9
1998,RS,89460,SAO JOSE DO SUL,4318614,2000,REATRIBUIDO,2
1998,RS,89486,SAO PEDRO DAS MISSOES,4319364,2000,REATRIBUIDO,6
1998,RS,89508,TIO HUGO,4321469,2000,AUSENTE_SO_AMBIGUAS,0
1998,RS,89524,WESTFALIA,4323770,2000,AUSENTE_SO_AMBIGUAS,0
1998,RS,89540,PINTO BANDEIRA,4314548,2000,REATRIBUIDO,9
1998,RS,89567,PEDRAS ALTAS,4314175,2000,REATRIBUIDO,3
1998,SC,83909,BALNEÁRIO RINCÃO,4220000,2012,REATRIBUIDO,13
1998,SC,83925,PESCARIA BRAVA,4212650,2012,REATRIBUIDO,21
2002,MS,55050,PARAÍSO DAS ÁGUAS,5006275,2012,REATRIBUIDO,4
2002,MS,55069,FIGUEIRAO,5003900,2004,AUSENTE_SEM_SECOES,0
2002,PA,4863,MOJUÍ DOS CAMPOS,1504752,2012,AUSENTE_SEM_SECOES,0
2002,PI,12726,NAZÁRIA,2206720,2008,REATRIBUIDO,17
2002,SC,83909,BALNEÁRIO RINCÃO,4220000,2012,REATRIBUIDO,14
2002,SC,83925,PESCARIA BRAVA,4212650,2012,REATRIBUIDO,19
2006,MS,55050,PARAÍSO DAS ÁGUAS,5006275,2012,REATRIBUIDO,5
2006,PA,4863,MOJUÍ DOS CAMPOS,1504752,2012,AUSENTE_SEM_SECOES,0
2006,RS,89540,PINTO BANDEIRA,4314548,2012,REATRIBUIDO,7
2006,SC,83909,BALNEÁRIO RINCÃO,4220000,2012,REATRIBUIDO,17
2006,SC,83925,PESCARIA BRAVA,4212650,2012,REATRIBUIDO,19
2010,RS,89540,PINTO BANDEIRA,4314548,2012,REATRIBUIDO,7
2010,SC,83909,BALNEÁRIO RINCÃO,4220000,2012,REATRIBUIDO,22
2010,SC,83925,PESCARIA BRAVA,4212650,2012,REATRIBUIDO,20
