Ano,UF,Cidade,CD_TSE,CD_IBGE,Parents,N_Secoes,Votos_Pres_1T,Identidade_Ano,Revisar
1998,AL,JEQUIA DA PRAIA,27065,2703759,28711,12,0,2000,
1998,BA,BARROCAS,30775,2903276,39098,35,6152,2000,
1998,BA,LUIS EDUARDO MAGALHAES,30007,2919553,33634,14,3891,2000,
1998,ES,GOVERNADOR LINDENBERG,56308,3202256,56294,17,4649,2000,
1998,GO,CAMPO LIMPO DE GOIAS,93580,5204854,92215,9,2560,2000,
1998,GO,GAMELEIRA DE GOIAS,93564,5208152,96091,3,971,2000,
1998,GO,IPIRANGA DE GOIAS,93548,5210158,93076,7,1468,2000,
1998,GO,LAGOA SANTA,93602,5212253,94110,3,589,2000,
1998,MS,PARAÍSO DAS ÁGUAS,55050,5006275,98035,4,860,2012,
1998,MT,BOM JESUS DO ARAGUAIA,90905,5101852,90042,4,544,2000,
1998,MT,COLNIZA,89788,5103254,90271,8,1923,2000,
1998,MT,CONQUISTA D OESTE,91006,,89990,5,917,2000,
1998,MT,NOVA NAZARE,90964,5106174,91910,3,535,2000,
1998,MT,NOVO SANTO ANTONIO,90948,5106315,91839,2,411,2000,
1998,MT,SANTA CRUZ DO XINGU,90980,5107743,90247,3,448,2000,
1998,MT,SANTA RITA DO TRIVELATO,91049,5107768,90646,2,329,2000,
1998,MT,SERRA NOVA DOURADA,90921,5107883,90042,3,321,2000,
1998,MT,VALE DE SAO DOMINGOS,91022,5108352,89990,7,1597,2000,
1998,PI,AROEIRAS DO ITAIM,12734,2200954,11592,6,1659,2004,
1998,PI,NAZÁRIA,12726,2206720,12190,15,3678,2008,
1998,RJ,MESQUITA,58467,3302858,58696,274,85105,2000,
1998,RS,ACEGUA,88986,4300034,85316,10,2314,2000,
1998,RS,ALMIRANTE TAMANDARE DO SUL,89001,4300471,85910,6,1244,2000,
1998,RS,ARROIO DO PADRE,89028,4301073,87912,9,1565,2000,
1998,RS,BOA VISTA DO CADEADO,89044,4302220,86193,6,1016,2000,
1998,RS,BOA VISTA DO INCRA,89060,4302238,86193,7,1562,2000,
1998,RS,BOZANO,89087,4302584,87050,8,1307,2000,
1998,RS,CANUDOS DO VALE,89109,4304614,87297,9,1324,2000,
1998,RS,CAPAO BONITO DO SUL,89125,4304622,87270,7,913,2000,
1998,RS,CAPAO DO CIPO,89141,4304655,88510,10,1318,2004,
1998,RS,CORONEL PILAR,89184,4305934,86690,11,1241,2000,
1998,RS,FORQUETINHA,89222,4308433,87297,6,906,2000,
1998,RS,ITATI,89249,4310652,85162,11,1901,2000,
1998,RS,JACUIZINHO,89265,4310876,89753,5,486,2000,
1998,RS,LAGOA BONITA DO SUL,89281,4311239,89176,11,1696,2000,
1998,RS,NOVO XINGU,89320,4313466,86134,3,520,2000,
1998,RS,PAULO BENTO,89346,4314134,86371,6,1238,2000,
1998,RS,PEDRAS ALTAS,89567,4314175,87939,3,607,2000,
1998,RS,PINTO BANDEIRA,89540,4314548,85413,9,1700,2000,
1998,RS,QUATRO IRMAOS,89389,4315313,86371,2,567,2000,
1998,RS,ROLADOR,89400,4315958,88811,11,1339,2000,
1998,RS,SANTA CECILIA DO SUL,89247,4316733,89214;84948,8,1050,2000,SIM
1998,RS,SANTA MARGARIDA DO SUL,89443,4316972,88692,9,1653,2000,
1998,RS,SAO JOSE DO SUL,89460,4318614,88331;87491,2,341,2000,SIM
1998,RS,SAO PEDRO DAS MISSOES,89486,4319364,87777,6,1252,2000,
1998,SC,BALNEÁRIO RINCÃO,83909,4220000,81370,13,3364,2012,
1998,SC,PESCARIA BRAVA,83925,4212650,81850,21,4958,2012,
2002,MS,PARAÍSO DAS ÁGUAS,55050,5006275,98035,4,0,2012,
2002,PI,NAZÁRIA,12726,2206720,12190,17,0,2008,
2002,SC,BALNEÁRIO RINCÃO,83909,4220000,81370,14,0,2012,
2002,SC,PESCARIA BRAVA,83925,4212650,81850,19,0,2012,
2006,MS,PARAÍSO DAS ÁGUAS,55050,5006275,98035,5,0,2012,
2006,RS,PINTO BANDEIRA,89540,4314548,85413,7,0,2012,
2006,SC,BALNEÁRIO RINCÃO,83909,4220000,81370,17,0,2012,
2006,SC,PESCARIA BRAVA,83925,4212650,81850,19,0,2012,
2010,RS,PINTO BANDEIRA,89540,4314548,85413,7,0,2012,
2010,SC,BALNEÁRIO RINCÃO,83909,4220000,81370,22,0,2012,
2010,SC,PESCARIA BRAVA,83925,4212650,81850,20,0,2012,
