ibge,municipio,ano,zona,local,nome,bairro,endereco,lon_antigo,lat_antigo,lon_novo,lat_novo,km,metodo,confianca,evidencia,motivo
2900801,Alcobaça,2006,112,1015,ESCOLA ESTADUAL LOMANTO JUNIOR,CENTRO,RUA VILA PENHA - ZONA URBANA,-39.22404667,-17.340315,-39.193774,-17.536845,22.11,localidade,media,"localidade CENTRO (1492 enderecos, raio 0.4 km)",fora do municipio (6.4 km alem da divisa)
2900801,Alcobaça,2008,112,1015,ESCOLA ESTADUAL LOMANTO JUNIOR,CENTRO,RUA VILA PENHA - ZONA URBANA,-39.22404667,-17.340315,-39.193774,-17.536845,22.11,localidade,media,"localidade CENTRO (1492 enderecos, raio 0.4 km)",fora do municipio (6.4 km alem da divisa)
2900801,Alcobaça,2010,112,1015,ESCOLA ESTADUAL LOMANTO JUNIOR,CENTRO,RUA VILA PENHA - ZONA URBANA,-39.22404667,-17.340315,-39.193774,-17.536845,22.11,localidade,media,"localidade CENTRO (1492 enderecos, raio 0.4 km)",fora do municipio (6.4 km alem da divisa)
2900801,Alcobaça,2012,112,1015,ESCOLA ESTADUAL LOMANTO JUNIOR,CENTRO,RUA VILA PENHA - ZONA URBANA,-39.22404667,-17.340315,-39.193774,-17.536845,22.11,localidade,media,"localidade CENTRO (1492 enderecos, raio 0.4 km)",fora do municipio (6.4 km alem da divisa)
2900801,Alcobaça,2014,112,1015,ESCOLA ESTADUAL LOMANTO JUNIOR,CENTRO,RUA VILA PENHA - ZONA URBANA,-39.22404667,-17.340315,-39.193774,-17.536845,22.11,localidade,media,"localidade CENTRO (1492 enderecos, raio 0.4 km)",fora do municipio (6.4 km alem da divisa)
2900801,Alcobaça,2016,112,1015,ESCOLA ESTADUAL LOMANTO JUNIOR,CENTRO,RUA VILA PENHA - ZONA URBANA,-39.22404667,-17.340315,-39.193774,-17.536845,22.11,localidade,media,"localidade CENTRO (1492 enderecos, raio 0.4 km)",fora do municipio (6.4 km alem da divisa)
2900801,Alcobaça,2018,112,1015,ESCOLA ESTADUAL LOMANTO JUNIOR,CENTRO,RUA VILA PENHA - ZONA URBANA,-39.22404667,-17.340315,-39.193774,-17.536845,22.11,localidade,media,"localidade CENTRO (1492 enderecos, raio 0.4 km)",fora do municipio (6.4 km alem da divisa)
2900801,Alcobaça,2020,112,1015,ESCOLA ESTADUAL LOMANTO JUNIOR,CENTRO,RUA VILA PENHA - ZONA URBANA,-39.22404667,-17.340315,-39.193774,-17.536845,22.11,localidade,media,"localidade CENTRO (1492 enderecos, raio 0.4 km)",fora do municipio (6.4 km alem da divisa)
2900801,Alcobaça,2022,112,1015,ESCOLA ESTADUAL LOMANTO JUNIOR,CENTRO,RUA VILA PENHA - ZONA URBANA,-39.22404667,-17.340315,-39.193774,-17.536845,22.11,localidade,media,"localidade CENTRO (1492 enderecos, raio 0.4 km)",fora do municipio (6.4 km alem da divisa)
2900801,Alcobaça,2024,112,1015,ESCOLA LOMANTO JUNIOR,CENTRO,RUA VILA PENHA   - ZONA URBANA,-39.22404667,-17.340315,-39.193774,-17.536845,22.11,localidade,media,"localidade CENTRO (1492 enderecos, raio 0.4 km)",fora do municipio (6.4 km alem da divisa)
2900801,Alcobaça,2006,112,1023,EMEF EUNICE GERÔNIMO DE OLIVEIRA,CENTRO,"RUA BRÁULIO NASCIMENTO, S/N - ZONA URBANA",-39.22407,-17.34028667,-39.19218,-17.53515,21.95,escola_inep,alta,"INEP: EMEF EUNICE JERONIMO DE OLIVEIRA [RUA BRAULIO NASCIMENTO, S/N CENTRO. 45910-00]",fora do municipio (6.4 km alem da divisa)
2900801,Alcobaça,2008,112,1023,EMEF EUNICE GERÔNIMO DE OLIVEIRA,CENTRO,"RUA BRÁULIO NASCIMENTO, S/N - ZONA URBANA",-39.22407,-17.34028667,-39.19218,-17.53515,21.95,escola_inep,alta,"INEP: EMEF EUNICE JERONIMO DE OLIVEIRA [RUA BRAULIO NASCIMENTO, S/N CENTRO. 45910-00]",fora do municipio (6.4 km alem da divisa)
2900801,Alcobaça,2010,112,1023,EMEF EUNICE GERÔNIMO DE OLIVEIRA,CENTRO,"RUA BRÁULIO NASCIMENTO, S/N - ZONA URBANA",-39.22407,-17.34028667,-39.19218,-17.53515,21.95,escola_inep,alta,"INEP: EMEF EUNICE JERONIMO DE OLIVEIRA [RUA BRAULIO NASCIMENTO, S/N CENTRO. 45910-00]",fora do municipio (6.4 km alem da divisa)
