ano,ibge,municipio,zona,local,nome,lon_corrigido,lat_corrigido,lon_tse,lat_tse,vizinho
2006,2933307,Vitória da Conquista,40,1791,ESCOLA MUNICIPAL OLÍMPIO JOSÉ DIAS,-41.127493,-14.847271,-41.1205508,-14.8221163,2901205
2008,2933307,Vitória da Conquista,40,1791,ESCOLA MUNICIPAL OLÍMPIO JOSÉ DIAS,-41.127493,-14.847271,-41.1205508,-14.8221163,2901205
2010,2933307,Vitória da Conquista,40,1791,ESCOLA MUNICIPAL OLÍMPIO JOSÉ DIAS,-41.127493,-14.847271,-41.1205508,-14.8221163,2901205
2012,2933307,Vitória da Conquista,40,1791,ESCOLA MUNICIPAL OLÍMPIO JOSÉ DIAS,-41.127493,-14.847271,-41.1205508,-14.8221163,2901205
2014,2933307,Vitória da Conquista,40,1791,ESCOLA MUNICIPAL OLÍMPIO JOSÉ DIAS,-41.127493,-14.847271,-41.1205508,-14.8221163,2901205
2016,2933307,Vitória da Conquista,40,1791,ESCOLA MUNICIPAL OLÍMPIO JOSÉ DIAS,-41.127493,-14.847271,-41.1205508,-14.8221163,2901205
2018,2933307,Vitória da Conquista,40,1791,ESCOLA MUNICIPAL OLÍMPIO JOSÉ DIAS,-41.127493,-14.847271,-41.1205508,-14.8221163,2901205
2020,2933307,Vitória da Conquista,40,1791,ESCOLA MUNICIPAL OLÍMPIO JOSÉ DIAS,-41.127493,-14.847271,-41.1205508,-14.8221163,2901205
2022,2933307,Vitória da Conquista,40,1791,ESCOLA MUNICIPAL OLÍMPIO JOSÉ DIAS,-41.127493,-14.847271,-41.1205508,-14.8221163,2901205
2006,2933307,Vitória da Conquista,40,2011,ESCOLA MUNICIPAL ALICE VELOSO,-40.729762,-14.727338,-40.7165201,-14.6338686,2901205
2008,2933307,Vitória da Conquista,40,2011,ESCOLA MUNICIPAL ALICE VELOSO,-40.729762,-14.727338,-40.7165201,-14.6338686,2901205
2010,2933307,Vitória da Conquista,40,2011,ESCOLA MUNICIPAL ALICE VELOSO,-40.729762,-14.727338,-40.7165201,-14.6338686,2901205
2012,2933307,Vitória da Conquista,40,2011,ESCOLA MUNICIPAL ALICE VELOSO,-40.729762,-14.727338,-40.7165201,-14.6338686,2901205
2014,2933307,Vitória da Conquista,40,2011,ESCOLA MUNICIPAL ALICE VELOSO,-40.729762,-14.727338,-40.7165201,-14.6338686,2901205
2016,2933307,Vitória da Conquista,40,2011,ESCOLA MUNICIPAL ALICE VELOSO,-40.729762,-14.727338,-40.7165201,-14.6338686,2901205
2018,2933307,Vitória da Conquista,40,2011,ESCOLA MUNICIPAL ALICE VELOSO,-40.729762,-14.727338,-40.7165201,-14.6338686,2901205
2020,2933307,Vitória da Conquista,40,2011,ESCOLA MUNICIPAL ALICE VELOSO,-40.729762,-14.727338,-40.7165201,-14.6338686,2901205
