ano,uf,ibge,zona,local,nome,bairro,lon_antigo,lat_antigo,km,irmaos,espalhamento_km,procedencia
2006,MG,3146206,270,1023,ESCOLA ESTADUAL ELIZA LEAL,CENTRO,-52.35975,-31.755749,1890.69,4,0.133,geocode_v0.15 (propagada)
2008,MG,3146206,270,1023,ESCOLA ESTADUAL ELIZA LEAL,CENTRO,-52.35975,-31.755749,1890.69,3,0.129,geocode_v0.15 (propagada)
2010,MG,3146206,270,1023,ESCOLA ESTADUAL ELIZA LEAL,CENTRO,-52.35975,-31.755749,1890.69,3,0.129,geocode_v0.15 (propagada)
2012,MG,3146206,270,1023,ESCOLA ESTADUAL ELIZA LEAL,CENTRO,-52.35975,-31.755749,1890.69,4,0.133,geocode_v0.15 (propagada)
2014,MG,3146206,270,1023,ESCOLA ESTADUAL ELIZA LEAL,CENTRO,-52.35975,-31.755749,1890.69,3,0.129,geocode_v0.15 (propagada)
2006,MG,3167103,262,1031,COLEGIO NOSSA SENHORA DA CONCEICAO,CENTRO,-34.8817282,-7.1195614,1576.38,5,0.433,geocode_v0.15 (propagada)
2008,MG,3167103,262,1031,COLEGIO NOSSA SENHORA DA CONCEICAO,CENTRO,-34.8817282,-7.1195614,1576.38,5,0.433,geocode_v0.15 (propagada)
2010,MG,3167103,262,1031,COLEGIO NOSSA SENHORA DA CONCEICAO,CENTRO,-34.8817282,-7.1195614,1576.38,5,0.433,geocode_v0.15 (propagada)
2012,MG,3167103,262,1031,COLEGIO NOSSA SENHORA DA CONCEICAO,CENTRO,-34.8817282,-7.1195614,1576.38,5,0.433,geocode_v0.15 (propagada)
2014,MG,3167103,262,1031,COLEGIO NOSSA SENHORA DA CONCEICAO,CENTRO,-34.8817282,-7.1195614,1576.38,5,0.433,geocode_v0.15 (propagada)
2016,MG,3167103,262,1031,COLEGIO NOSSA SENHORA DA CONCEICAO,CENTRO,-34.8817282,-7.1195614,1576.38,5,0.433,geocode_v0.15 (propagada)
2018,MG,3167103,262,1031,COLEGIO NOSSA SENHORA DA CONCEICAO,CENTRO,-34.8817282,-7.1195614,1576.38,5,0.433,geocode_v0.15 (propagada)
2020,MG,3167103,262,1031,COLEGIO NOSSA SENHORA DA CONCEICAO,CENTRO,-34.8817282,-7.1195614,1576.38,6,0.715,geocode_v0.15 (propagada)
2022,MG,3167103,262,1031,COLEGIO NOSSA SENHORA DA CONCEICAO,CENTRO,-34.8817282,-7.1195614,1576.38,6,0.715,geocode_v0.15 (propagada)
2024,MG,3167103,262,1031,COLEGIO NOSSA SENHORA DA CONCEICAO,CENTRO,-34.8817282,-7.1195614,1576.38,6,0.715,chave_exata_2022
2024,RS,4305124,123,1104,ESCOLA ADÃO ORLANDO ALVES (JAIME FARIA),CENTRO,-52.798511,-31.652666,689.91,7,0.0,chave_exata_2022
2024,RS,4305124,123,1201,CÂMARA DE VEREADORES DE CERRITO,CENTRO,-52.812196,-31.855585,688.5,7,0.0,geocode_v0.15 (modelo)
2024,RS,4305124,123,1066,CENTRO ADMINISTRATIVO DO CERRITO,CENTRO,-52.812845,-31.856831,688.44,7,0.0,chave_exata_2022
2006,RS,4305124,123,1090,REINALDO KARNOPP,CENTRO,-60.0757751,-31.5799737,688.43,12,0.578,geocode_v0.15 (propagada)
2006,RS,4305124,123,1147,ESCOLA SANTO ANDRE,CENTRO,-60.0757751,-31.5799737,688.43,12,0.578,geocode_v0.15 (propagada)
2006,RS,4305124,123,1155,ESCOLA PEDRO DA VARA / POSTO DE SAUDE,CENTRO,-60.0757751,-31.5799737,688.43,12,0.578,geocode_v0.15 (propagada)
2006,RS,4305124,123,1163,ESCOLA MUNICIPAL FELIPE DOS SANTOS,CENTRO,-60.0757751,-31.5799737,688.43,12,0.578,geocode_v0.15 (propagada)
2008,RS,4305124,123,1090,REINALDO KARNOPP,CENTRO,-60.0757751,-31.5799737,688.43,12,0.578,geocode_v0.15 (propagada)
2008,RS,4305124,123,1147,ESCOLA SANTO ANDRE,CENTRO,-60.0757751,-31.5799737,688.43,12,0.578,geocode_v0.15 (propagada)
2008,RS,4305124,123,1155,ESCOLA PEDRO DA VARA / POSTO DE SAUDE,CENTRO,-60.0757751,-31.5799737,688.43,12,0.578,geocode_v0.15 (propagada)
2008,RS,4305124,123,1163,ESCOLA MUNICIPAL FELIPE DOS SANTOS,CENTRO,-60.0757751,-31.5799737,688.43,12,0.578,geocode_v0.15 (propagada)
2012,RS,4305124,123,1090,REINALDO KARNOPP,CENTRO,-60.0757751,-31.5799737,688.43,12,0.578,geocode_v0.15 (propagada)
2012,RS,4305124,123,1147,ESCOLA SANTO ANDRE,CENTRO,-60.0757751,-31.5799737,688.43,12,0.578,geocode_v0.15 (propagada)
2012,RS,4305124,123,1155,ESCOLA PEDRO DA VARA / POSTO DE SAUDE,CENTRO,-60.0757751,-31.5799737,688.43,12,0.578,geocode_v0.15 (propagada)
2012,RS,4305124,123,1163,ESCOLA MUNICIPAL FELIPE DOS SANTOS,CENTRO,-60.0757751,-31.5799737,688.43,12,0.578,geocode_v0.15 (propagada)
2010,RS,4305124,123,1090,REINALDO KARNOPP,CENTRO,-60.0757751,-31.5799737,688.09,11,0.466,geocode_v0.15 (propagada)
2010,RS,4305124,123,1147,ESCOLA SANTO ANDRE,CENTRO,-60.0757751,-31.5799737,688.09,11,0.466,geocode_v0.15 (propagada)
2010,RS,4305124,123,1155,ESCOLA PEDRO DA VARA / POSTO DE SAUDE,CENTRO,-60.0757751,-31.5799737,688.09,11,0.466,geocode_v0.15 (propagada)
2010,RS,4305124,123,1163,ESCOLA MUNICIPAL FELIPE DOS SANTOS,CENTRO,-60.0757751,-31.5799737,688.09,11,0.466,geocode_v0.15 (propagada)
2014,RS,4305124,123,1090,REINALDO KARNOPP,CENTRO,-60.0757751,-31.5799737,688.09,11,0.466,geocode_v0.15 (propagada)
2014,RS,4305124,123,1147,ESCOLA SANTO ANDRE,CENTRO,-60.0757751,-31.5799737,688.09,11,0.466,geocode_v0.15 (propagada)
2014,RS,4305124,123,1155,ESCOLA PEDRO DA VARA / POSTO DE SAUDE,CENTRO,-60.0757751,-31.5799737,688.09,11,0.466,geocode_v0.15 (propagada)
2014,RS,4305124,123,1163,ESCOLA MUNICIPAL FELIPE DOS SANTOS,CENTRO,-60.0757751,-31.5799737,688.09,11,0.466,geocode_v0.15 (propagada)
2024,RS,4305124,123,1058,"JOSE BERNABE DE SOUZA, ESC. EST. DE 1 E 2 GRAUS",CENTRO,-52.816642,-31.85208,688.08,7,0.0,chave_exata_2022
2006,PA,1500602,18,1325,ESCOLA MUNICIPAL DE 1 GRAU ARMINDO DOCETEU DENARDIM,CENTRO,-55.0941201,-8.3159151,652.05,6,1.038,geocode_v0.15 (propagada)
2008,MG,3138401,161,1104,CLUBE COTUBAS,CENTRO,-48.5682069,-21.7756298,614.19,6,0.501,geocode_v0.15 (propagada)
2010,MG,3138401,161,1104,CLUBE COTUBAS,CENTRO,-48.5682069,-21.7756298,614.19,7,0.501,geocode_v0.15 (propagada)
2012,MG,3138401,161,1104,CLUBE COTUBAS,CENTRO,-48.5682069,-21.7756298,614.19,7,0.501,geocode_v0.15 (propagada)
2014,MG,3138401,161,1104,CLUBE COTUBAS,CENTRO,-48.5682069,-21.7756298,614.19,7,0.501,geocode_v0.15 (propagada)
2016,MG,3138401,161,1104,CLUBE COTUBAS,CENTRO,-48.5682069,-21.7756298,614.19,6,0.501,geocode_v0.15 (propagada)
2018,MG,3138401,161,1104,CLUBE COTUBAS,CENTRO,-48.5682069,-21.7756298,614.19,6,0.501,geocode_v0.15 (propagada)
2020,MG,3138401,161,1104,CLUBE COTUBAS,CENTRO,-48.5682069,-21.7756298,614.19,6,0.501,geocode_v0.15 (propagada)
2022,MG,3138401,161,1104,CLUBE COTUBAS,CENTRO,-48.5682069,-21.7756298,614.19,7,0.501,geocode_v0.15 (propagada)
2024,MG,3138401,161,1104,CLUBE COTUBAS,CENTRO,-48.5682069,-21.7756298,614.19,7,0.501,chave_exata_2022
2006,MG,3138401,161,1104,CLUBE COTUBAS,CENTRO,-48.5682069,-21.7756298,614.01,11,0.309,geocode_v0.15 (propagada)
2006,RS,4322152,154,1058,SALAO COMUNITÁRIO SANTA RITA,CENTRO,-49.0844993,-24.9754315,598.75,9,0.701,geocode_v0.15 (propagada)
2008,RS,4322152,154,1058,SALAO COMUNITÁRIO SANTA RITA,CENTRO,-49.0844993,-24.9754315,598.75,8,0.839,geocode_v0.15 (propagada)
2010,RS,4322152,154,1015,BALDUINO KURTZ,CENTRO,-49.0844993,-24.9754315,598.75,8,0.839,geocode_v0.15 (propagada)
2010,RS,4322152,154,1058,SALAO COMUNITÁRIO SANTA RITA,CENTRO,-49.0844993,-24.9754315,598.75,8,0.839,geocode_v0.15 (propagada)
2012,RS,4322152,154,1015,BALDUINO KURTZ,CENTRO,-49.0844993,-24.9754315,598.75,8,0.839,geocode_v0.15 (propagada)
2012,RS,4322152,154,1058,SALAO COMUNITÁRIO SANTA RITA,CENTRO,-49.0844993,-24.9754315,598.75,8,0.839,geocode_v0.15 (propagada)
2014,RS,4322152,154,1015,BALDUINO KURTZ,CENTRO,-49.0844993,-24.9754315,598.75,8,0.839,geocode_v0.15 (propagada)
2014,RS,4322152,154,1058,SALAO COMUNITÁRIO SANTA RITA,CENTRO,-49.0844993,-24.9754315,598.75,8,0.839,geocode_v0.15 (propagada)
2016,RS,4322152,154,1015,BALDUINO KURTZ,CENTRO,-49.0844993,-24.9754315,598.75,7,0.249,geocode_v0.15 (propagada)
2016,RS,4322152,154,1058,SALAO COMUNITÁRIO SANTA RITA,CENTRO,-49.0844993,-24.9754315,598.75,7,0.249,geocode_v0.15 (propagada)
2024,RS,4322152,154,1058,SALAO COMUNITÁRIO SANTA RITA,CENTRO,-49.0844993,-24.9754315,598.75,6,0.249,chave_exata_2022
2006,MG,3170008,50,1023,ESCOLA MUNICIPAL MARCIA MARILIA,CENTRO,-42.9413096,-21.1208656,571.65,3,0.376,geocode_v0.15 (propagada)
