ano,uf,ibge,municipio,zona,local,nome,renda_antes,renda_depois,doador,doador_nome,distancia_km,motivo,situacao
2006,BA,2900801,ALCOBACA,112,1015,ESCOLA ESTADUAL LOMANTO JUNIOR,416.3,,,,,coordenada corrigida,sem doador (nenhum local intacto no municipio)
2008,BA,2900801,ALCOBACA,112,1015,ESCOLA ESTADUAL LOMANTO JUNIOR,416.3,,,,,coordenada corrigida,sem doador (nenhum local intacto no municipio)
2010,BA,2900801,ALCOBACA,112,1015,ESCOLA ESTADUAL LOMANTO JUNIOR,416.3,,,,,coordenada corrigida,sem doador (nenhum local intacto no municipio)
2012,BA,2900801,ALCOBACA,112,1015,ESCOLA ESTADUAL LOMANTO JUNIOR,416.3,,,,,coordenada corrigida,sem doador (nenhum local intacto no municipio)
2014,BA,2900801,ALCOBACA,112,1015,ESCOLA ESTADUAL LOMANTO JUNIOR,416.3,,,,,coordenada corrigida,sem doador (nenhum local intacto no municipio)
2016,BA,2900801,ALCOBACA,112,1015,ESCOLA ESTADUAL LOMANTO JUNIOR,2602.39,,,,,coordenada corrigida,sem doador (nenhum local intacto no municipio)
2018,BA,2900801,ALCOBACA,112,1015,ESCOLA ESTADUAL LOMANTO JUNIOR,2602.39,,,,,coordenada corrigida,sem doador (nenhum local intacto no municipio)
2020,BA,2900801,ALCOBACA,112,1015,ESCOLA ESTADUAL LOMANTO JUNIOR,2602.39,,,,,coordenada corrigida,sem doador (nenhum local intacto no municipio)
2022,BA,2900801,ALCOBACA,112,1015,ESCOLA ESTADUAL LOMANTO JUNIOR,2583.7,,,,,coordenada corrigida,sem doador (nenhum local intacto no municipio)
2024,BA,2900801,ALCOBACA,112,1015,ESCOLA ESTADUAL LOMANTO JUNIOR,2602.39,,,,,coordenada corrigida,sem doador (nenhum local intacto no municipio)
2006,BA,2900801,ALCOBACA,112,1023,ESCOLA DR. NESTOR DUARTE,932.98,,,,,coordenada corrigida,sem doador (nenhum local intacto no municipio)
2008,BA,2900801,ALCOBACA,112,1023,EMEF EUNICE GERONIMO DE OLIVEIRA,1006.93,,,,,coordenada corrigida,sem doador (nenhum local intacto no municipio)
2010,BA,2900801,ALCOBACA,112,1023,EMEF EUNICE GERONIMO DE OLIVEIRA,1006.93,,,,,coordenada corrigida,sem doador (nenhum local intacto no municipio)
2012,BA,2900801,ALCOBACA,112,1023,EMEF EUNICE GERONIMO DE OLIVEIRA,1006.93,,,,,coordenada corrigida,sem doador (nenhum local intacto no municipio)
2014,BA,2900801,ALCOBACA,112,1023,EMEF EUNICE GERONIMO DE OLIVEIRA,1006.93,,,,,coordenada corrigida,sem doador (nenhum local intacto no municipio)
2016,BA,2900801,ALCOBACA,112,1023,EMEF EUNICE GERONIMO DE OLIVEIRA,2572.29,,,,,coordenada corrigida,sem doador (nenhum local intacto no municipio)
2018,BA,2900801,ALCOBACA,112,1023,EMEF EUNICE GERONIMO DE OLIVEIRA,2572.29,,,,,coordenada corrigida,sem doador (nenhum local intacto no municipio)
2020,BA,2900801,ALCOBACA,112,1023,EMEF EUNICE GERÔNIMO DE OLIVEIRA,2572.29,,,,,coordenada corrigida,sem doador (nenhum local intacto no municipio)
2022,BA,2900801,ALCOBACA,112,1023,EMEF EUNICE GERÔNIMO DE OLIVEIRA,2572.29,,,,,coordenada corrigida,sem doador (nenhum local intacto no municipio)
2024,BA,2900801,ALCOBACA,112,1023,EMEF EUNICE GERÔNIMO DE OLIVEIRA,2572.29,,,,,coordenada corrigida,sem doador (nenhum local intacto no municipio)
2006,BA,2900801,ALCOBACA,112,1031,CENTRO EDUCACIONAL DE ALCOBACA,1181.26,,,,,coordenada corrigida,sem doador (nenhum local intacto no municipio)
