pais;pagina;chave;votos;pct_impresso
AFRICA DO SUL;132;#ELEITORADO;23;
AFRICA DO SUL;132;#SECOES;1;
AFRICA DO SUL;132;#ABSTENCOES;23;100.00
AFRICA DO SUL;132;#VOTANTES;0;0.00
AFRICA DO SUL;132;#BRANCOS;0;0.00
AFRICA DO SUL;132;#NULOS;0;0.00
AFRICA DO SUL;132;#VOTOS VALIDOS;1;4.35
AFRICA DO SUL;132;LULA;0;0.00
AFRICA DO SUL;132;CORREA;0;0.00
AFRICA DO SUL;132;MARRONZINHO;0;0.00
AFRICA DO SUL;132;CELSO BRANT;0;0.00
AFRICA DO SUL;132;ZAMIR;0;0.00
AFRICA DO SUL;132;MALUF;0;0.00
AFRICA DO SUL;132;AFIF;0;0.00
AFRICA DO SUL;132;MARIO COVAS;0;0.00
AFRICA DO SUL;132;R. FREIRE;0;0.00
AFRICA DO SUL;132;LIVIA MARIA;0;0.00
AFRICA DO SUL;132;PG;0;0.00
AFRICA DO SUL;132;COLLOR;0;0.00
AFRICA DO SUL;132;AURELIANO;0;0.00
AFRICA DO SUL;132;A. CAMARGO;0;0.00
AFRICA DO SUL;132;BRIZOLA;0;0.00
AFRICA DO SUL;132;ENEAS;0;0.00
AFRICA DO SUL;132;GABEIRA;0;0.00
AFRICA DO SUL;132;ULYSSES;0;0.00
AFRICA DO SUL;132;PEDREIRA;0;0.00
AFRICA DO SUL;132;R. CAIADO;0;0.00
AFRICA DO SUL;132;MANOEL HORTA;0;0.00
AFRICA DO SUL;132;EUDES;0;0.00
ALEMANHA OCIDENTAL;132;#ELEITORADO;1442;
ALEMANHA OCIDENTAL;132;#SECOES;6;
ALEMANHA OCIDENTAL;132;#ABSTENCOES;1215;84.26
ALEMANHA OCIDENTAL;132;#VOTANTES;227;15.74
ALEMANHA OCIDENTAL;132;#BRANCOS;0;0.00
ALEMANHA OCIDENTAL;132;#NULOS;0;0.00
ALEMANHA OCIDENTAL;132;#VOTOS VALIDOS;227;15.74
ALEMANHA OCIDENTAL;132;LULA;96;42.29
ALEMANHA OCIDENTAL;132;MARIO COVAS;57;25.11
ALEMANHA OCIDENTAL;132;BRIZOLA;34;14.98
ALEMANHA OCIDENTAL;132;COLLOR;25;11.01
ALEMANHA OCIDENTAL;132;AFIF;7;8.08
ALEMANHA OCIDENTAL;132;MALUF;2;0.88
ALEMANHA OCIDENTAL;132;ULYSSES;2;0.88
ALEMANHA OCIDENTAL;132;MARRONZINHO;1;0.44
ALEMANHA OCIDENTAL;132;R. FREIRE;1;0.44
ALEMANHA OCIDENTAL;132;AURELIANO;1;0.44
ALEMANHA OCIDENTAL;132;GABEIRA;1;0.44
ALEMANHA OCIDENTAL;132;ZAMIR;0;0.00
ALEMANHA OCIDENTAL;132;PEDREIRA;0;0.00
ALEMANHA OCIDENTAL;132;MANOEL HORTA;0;0.00
ALEMANHA OCIDENTAL;132;CORREA;0;0.00
ALEMANHA OCIDENTAL;132;CELSO BRANT;0;0.00
