cd_municipio;pais;pagina;numero;votos;pct_impresso
11100;ALEMANHA;5;95;26;
11100;ALEMANHA;5;96;56;
11100;ALEMANHA;5;13;853;48.91
11100;ALEMANHA;5;45;749;42.95
11100;ALEMANHA;5;11;33;1.89
11100;ALEMANHA;5;12;32;1.83
11100;ALEMANHA;5;56;30;1.72
11100;ALEMANHA;5;15;26;1.49
11100;ALEMANHA;5;36;17;0.97
11100;ALEMANHA;5;20;4;0.23
11126;ARABIA SAUDITA;6;95;1;
11126;ARABIA SAUDITA;6;96;1;
11126;ARABIA SAUDITA;6;45;12;50.00
11126;ARABIA SAUDITA;6;13;9;37.50
11126;ARABIA SAUDITA;6;56;3;12.50
11142;ARGENTINA;6;95;1;
11142;ARGENTINA;6;96;14;
11142;ARGENTINA;6;45;305;62.50
11142;ARGENTINA;6;13;147;30.12
11142;ARGENTINA;6;11;10;2.05
11142;ARGENTINA;6;56;10;2.05
11142;ARGENTINA;6;12;8;1.64
11142;ARGENTINA;6;36;4;0.82
11142;ARGENTINA;6;20;3;0.61
11142;ARGENTINA;6;15;1;0.20
11169;CHILE;8;95;7;
11169;CHILE;8;96;10;
11169;CHILE;8;45;370;72.12
11169;CHILE;8;13;103;20.08
11169;CHILE;8;11;10;1.95
11169;CHILE;8;15;10;1.95
11169;CHILE;8;56;10;1.95
11169;CHILE;8;12;6;
11169;CHILE;8;36;3;0.58
11169;CHILE;8;20;1;0.19
11185;COLOMBIA;9;95;0;
11185;COLOMBIA;9;96;4;
11185;COLOMBIA;9;45;131;72.38
11185;COLOMBIA;9;13;41;22.65
11185;COLOMBIA;9;15;4;2.21
11185;COLOMBIA;9;12;2;1.10
11185;COLOMBIA;9;56;2;1.10
11185;COLOMBIA;9;11;1;0.55
11223;EQUADOR;12;95;0;
11223;EQUADOR;12;96;1;
11223;EQUADOR;12;45;105;76.64
11223;EQUADOR;12;13;26;18.98
11223;EQUADOR;12;15;2;1.46
11223;EQUADOR;12;56;2;1.46
11223;EQUADOR;12;11;1;0.73
11223;EQUADOR;12;12;1;0.73
11240;ESPANHA;12;95;3;
11240;ESPANHA;12;96;15;
11240;ESPANHA;12;13;276;48.51
11240;ESPANHA;12;45;260;45.69
11240;ESPANHA;12;12;17;2.99
11240;ESPANHA;12;56;10;1.76
11240;ESPANHA;12;15;2;0.35
11240;ESPANHA;12;20;2;0.35
11240;ESPANHA;12;36;2;0.35
11266;ESTADOS UNIDOS;12;95;73;
11266;ESTADOS UNIDOS;12;96;274;
11266;ESTADOS UNIDOS;12;45;4261;62.04
11266;ESTADOS UNIDOS;12;13;2055;29.92
11266;ESTADOS UNIDOS;12;56;156;2.27
11266;ESTADOS UNIDOS;12;12;144;2.10
11266;ESTADOS UNIDOS;12;11;118;1.72
11266;ESTADOS UNIDOS;12;15;92;1.34
11266;ESTADOS UNIDOS;12;20;24;0.35
11266;ESTADOS UNIDOS;12;36;18;0.26
11282;FRANCA;13;95;7;
11282;FRANCA;13;96;20;
11282;FRANCA;13;13;886;61.87
11282;FRANCA;13;45;499;34.85
11282;FRANCA;13;12;28;1.96
11282;FRANCA;13;11;9;0.63
11282;FRANCA;13;56;8;0.56
11282;FRANCA;13;20;1;0.07
11282;FRANCA;13;36;1;0.07
11304;GUIANA;15;95;0;
11304;GUIANA;15;96;1;
11304;GUIANA;15;45;32;60.38
11304;GUIANA;15;13;15;28.30
11304;GUIANA;15;56;4;7.55
11304;GUIANA;15;12;2;3.77
11320;GUIANA FRANCESA;15;95;5;
11320;GUIANA FRANCESA;15;96;44;
11320;GUIANA FRANCESA;15;45;335;65.69
11320;GUIANA FRANCESA;15;13;103;20.20
11320;GUIANA FRANCESA;15;56;29;5.69
11320;GUIANA FRANCESA;15;12;15;2.94
11320;GUIANA FRANCESA;15;15;12;2.35
11320;GUIANA FRANCESA;15;36;8;1.57
11320;GUIANA FRANCESA;15;20;6;1.18
11320;GUIANA FRANCESA;15;11;2;0.39
11347;ISRAEL;17;95;1;
11347;ISRAEL;17;96;1;
11347;ISRAEL;17;45;52;65.00
11347;ISRAEL;17;13;25;31.25
11347;ISRAEL;17;12;1;1.25
11347;ISRAEL;17;15;1;1.25
11347;ISRAEL;17;36;1;1.25
11363;ITALIA;17;95;9;
11363;ITALIA;17;96;76;
11363;ITALIA;17;13;1051;47.07
11363;ITALIA;17;45;991;44.38
11363;ITALIA;17;12;56;2.51
11363;ITALIA;17;11;55;2.46
11363;ITALIA;17;56;36;1.61
11363;ITALIA;17;15;25;1.12
11363;ITALIA;17;36;15;0.67
11363;ITALIA;17;20;4;0.18
11380;JAPAO;18;95;3;
11380;JAPAO;18;96;11;
11380;JAPAO;18;45;251;71.51
11380;JAPAO;18;13;72;20.51
11380;JAPAO;18;56;13;3.70
11380;JAPAO;18;12;5;1.42
11380;JAPAO;18;11;4;1.14
11380;JAPAO;18;15;4;1.14
11380;JAPAO;18;20;1;0.28
11380;JAPAO;18;36;1;0.28
11401;LIBANO;19;95;1;
11401;LIBANO;19;96;2;
11401;LIBANO;19;45;58;52.73
11401;LIBANO;19;11;31;28.18
11401;LIBANO;19;13;12;10.91
11401;LIBANO;19;15;4;3.64
11401;LIBANO;19;36;3;2.73
11401;LIBANO;19;12;2;1.82
11428;MEXICO;19;95;2;
11428;MEXICO;19;96;3;
11428;MEXICO;19;45;250;77.88
11428;MEXICO;19;13;58;18.07
11428;MEXICO;19;12;6;
11428;MEXICO;19;11;4;1.25
11428;MEXICO;19;15;2;0.62
11428;MEXICO;19;36;1;0.31
11444;PARAGUAI;22;95;5;
11444;PARAGUAI;22;96;12;
11444;PARAGUAI;22;45;302;64.81
11444;PARAGUAI;22;13;107;22.96
11444;PARAGUAI;22;56;22;4.72
11444;PARAGUAI;22;12;16;3.43
11444;PARAGUAI;22;11;13;2.79
11444;PARAGUAI;22;15;4;0.86
11444;PARAGUAI;22;20;1;0.21
11444;PARAGUAI;22;36;1;0.21
11460;PERU;22;95;0;
11460;PERU;22;96;0;
11460;PERU;22;45;86;79.63
11460;PERU;22;13;13;12.04
11460;PERU;22;12;3;2.78
11460;PERU;22;15;3;2.78
11460;PERU;22;11;2;1.85
11460;PERU;22;36;1;0.93
11487;POLONIA;22;95;0;
11487;POLONIA;22;96;1;
11487;POLONIA;22;45;22;55.00
11487;POLONIA;22;13;15;37.50
11487;POLONIA;22;12;2;5.00
11487;POLONIA;22;11;1;2.50
11509;PORTUGAL;23;95;12;
11509;PORTUGAL;23;96;50;
11509;PORTUGAL;23;45;1259;61.32
11509;PORTUGAL;23;13;688;33.51
11509;PORTUGAL;23;56;48;2.34
11509;PORTUGAL;23;11;23;1.12
11509;PORTUGAL;23;12;15;0.73
11509;PORTUGAL;23;15;15;0.73
11509;PORTUGAL;23;20;4;0.19
11509;PORTUGAL;23;36;1;0.05
11525;SUlCA;25;95;35;
11525;SUlCA;25;96;89;
11525;SUlCA;25;45;911;53.43
11525;SUlCA;25;13;641;37.60
11525;SUlCA;25;12;43;2.52
11525;SUlCA;25;56;37;2.17
11525;SUlCA;25;15;31;
11525;SUlCA;25;11;20;1.17
11525;SUlCA;25;36;15;0.88
11525;SUlCA;25;20;7;0.41
11541;SURINAME;25;95;0;
11541;SURINAME;25;96;0;
11541;SURINAME;25;45;42;44.21
11541;SURINAME;25;13;39;41.05
11541;SURINAME;25;15;5;5.26
11541;SURINAME;25;56;4;4.21
11541;SURINAME;25;12;3;3.16
11541;SURINAME;25;20;1;1.05
11541;SURINAME;25;36;1;1.05
11568;URUGUAI;26;95;0;
11568;URUGUAI;26;96;17;
