# Urnas do exterior (SG_UF = ZZ) do TSE -> pais e coordenada.
#
# Consumido por scripts/gerar_majoritarias_exterior.py. Resolve as duas coisas que
# o dado bruto do TSE nao da: em que pais fica cada urna e onde ela fica no mapa.
#
# A chave e CD_MUNICIPIO, nao o nome: o codigo e estavel entre anos, o nome nao
# (PARIS em 2022 e PARIS-FRAN em 2010). Sao os 235 codigos que aparecem entre
# 1998 e 2022. Ate 2006 o TSE agregava por PAIS (11142 ARGENTINA, 98787 AFRICA DO
# SUL); de 2010 em diante, por consulado (30287 PARIS). Os dois regimes convivem
# aqui, e por isso ha codigos diferentes para a mesma cidade (29025 e 29793 Hong
# Kong, 29548 e 98523 Singapura, 29726 e 98000 Guatemala, 29866 e 99430 Kingston).
# Nos codigos de pais a coordenada e a da capital / consulado principal.
#
# Decisoes que nao saem por regra:
#   11320 GUIANA FRANCESA e 29475 CAIENA -> FRA. A malha 50m dobra os
#         departamentos ultramarinos dentro do poligono da Franca: Caiena soma
#         com Paris no coropletico, mas o ponto do consulado fica em Caiena.
#   98566 CHECOSLOVAQUIA -> CZE (a secao era Praga).
#   98841 INGLATERRA -> GBR.
#   39187 BRAZZAVILLE -> COG, contra 29874 KINSHASA -> COD.
#   30414 RAMALLAH -> PSE; 2828 TAIWAN e 30570 TAIPE -> TWN.
#   29521 CHUY, 29319 ARTIGAS e 30430 RIO BRANCO sao as cidades URUGUAIAS de
#         fronteira -- 30430 nao e Rio Branco do Acre.
#
# cd_municipio;nome;iso3;lat;lng
2828;TAIWAN;TWN;25.033;121.565
11100;ALEMANHA;DEU;52.520;13.405
11126;ARABIA SAUDITA;SAU;24.713;46.675
11142;ARGENTINA;ARG;-34.604;-58.382
11169;CHILE;CHL;-33.449;-70.669
11185;COLOMBIA;COL;4.711;-74.072
11207;COREIA;KOR;37.567;126.978
11223;EQUADOR;ECU;-0.180;-78.468
11240;ESPANHA;ESP;40.417;-3.704
11266;ESTADOS UNIDOS;USA;38.907;-77.037
11282;FRANCA;FRA;48.857;2.352
11304;GUIANA;GUY;6.802;-58.155
11320;GUIANA FRANCESA;FRA;4.933;-52.330
11347;ISRAEL;ISR;32.085;34.781
11363;ITALIA;ITA;41.903;12.496
11380;JAPAO;JPN;35.690;139.692
11401;LIBANO;LBN;33.889;35.495
11428;MEXICO;MEX;19.433;-99.133
11444;PARAGUAI;PRY;-25.264;-57.576
11460;PERU;PER;-12.046;-77.043
11487;POLONIA;POL;52.230;21.012
11509;PORTUGAL;PRT;38.722;-9.139
11525;SUICA;CHE;46.948;7.447
11541;SURINAME;SUR;5.852;-55.204
11568;URUGUAI;URY;-34.901;-56.164
11584;VENEZUELA;VEN;10.481;-66.904
11800;BOLIVIA;BOL;-16.500;-68.150
11827;GRECIA;GRC;37.984;23.728
29009;PAISES BAIXOS;NLD;52.078;4.310
29017;PORTO RICO;PRI;18.466;-66.106
29025;HONG KONG;HKG;22.302;114.177
29033;IRLANDA;IRL;53.350;-6.260
29050;NOVA ZELANDIA;NZL;-41.289;174.777
29076;HONDURAS;HND;14.072;-87.192
29114;MOCAMBIQUE;MOZ;-25.966;32.581
29122;MARROCOS;MAR;34.021;-6.842
29130;MALASIA;MYS;3.139;101.687
29157;KUWAIT;KWT;29.376;47.977
29165;KENIA;KEN;-1.286;36.817
29173;KATMANDU;NPL;27.717;85.324
29181;JORDANIA;JOR;31.955;35.945
29211;INDONESIA;IDN;-6.208;106.846
29238;HUNGRIA;HUN;47.498;19.040
29246;HAITI;HTI;18.594;-72.307
29254;ABIDJA;CIV;5.360;-4.008
29262;ABU DHABI;ARE;24.453;54.377
29270;ACCRA;GHA;5.604;-0.187
29289;AMA;JOR;31.955;35.945
29297;ANCARA;TUR;39.933;32.860
29300;ARGEL;DZA;36.754;3.059
29319;ARTIGAS;URY;-30.400;-56.470
29327;ASSUNCAO;PRY;-25.264;-57.576
29335;ATENAS;GRC;37.984;23.728
29343;BANGKOK;THA;13.756;100.502
29351;BARCELONA;ESP;41.385;2.173
29360;BEIRUTE;LBN;33.889;35.495
29378;BELGRADO;SRB;44.787;20.449
29386;BERLIM;DEU;52.520;13.405
29394;BISSAU;GNB;11.881;-15.598
29408;BOGOTA;COL;4.711;-74.072
29416;BOSTON;USA;42.360;-71.058
29432;BRUXELAS;BEL;50.851;4.352
29440;BUCARESTE;ROU;44.427;26.103
29459;BUDAPESTE;HUN;47.498;19.040
29467;BUENOS AIRES;ARG;-34.604;-58.382
29475;CAIENA;FRA;4.933;-52.330
29483;CAIRO;EGY;30.044;31.236
29491;CAMBERRA;AUS;-35.281;149.129
29505;CARACAS;VEN;10.481;-66.904
29513;CHICAGO;USA;41.878;-87.630
29521;CHUY;URY;-33.697;-53.457
29530;CIDADE DO CABO;ZAF;-33.925;18.424
29548;SINGAPURA;SGP;1.352;103.820
29556;CIUDAD DEL ESTE;PRY;-25.516;-54.617
29564;CIUDAD GUAYANA;VEN;8.353;-62.652
29572;COCHABAMBA;BOL;-17.389;-66.157
29580;CONCEPCION;PRY;-23.406;-57.434
29599;COPENHAGUE;DNK;55.677;12.568
29602;CORDOBA;ARG;-31.420;-64.189
29610;DACAR;SEN;14.716;-17.467
29637;DAMASCO;SYR;33.514;36.277
29645;DILI;TLS;-8.557;125.560
29653;DOHA;QAT;25.286;51.531
29661;DUBLIN;IRL;53.350;-6.260
29670;ENCARNACION;PRY;-27.331;-55.867
29688;ESTOCOLMO;SWE;59.329;18.069
29696;FRANKFURT;DEU;50.111;8.682
29700;GENEBRA;CHE;46.204;6.143
29718;GEORGETOWN;GUY;6.802;-58.155
29726;GUATEMALA;GTM;14.634;-90.507
29742;HAMAMATSU;JPN;34.711;137.726
29750;HANOI;VNM;21.028;105.834
29777;HAVANA;CUB;23.113;-82.366
29785;HELSINQUE;FIN;60.170;24.938
29793;HONG KONG;HKG;22.302;114.177
29807;HOUSTON;USA;29.760;-95.370
29840;JACARTA;IDN;-6.208;106.846
29858;KIEV;UKR;50.450;30.523
29866;KINGSTON;JAM;17.971;-76.793
29874;KINSHASA;COD;-4.325;15.322
29882;KUAITE;KWT;29.376;47.977
29890;KUALA LUMPUR;MYS;3.139;101.687
29904;LA PAZ;BOL;-16.500;-68.150
29912;LAGOS;NGA;6.524;3.379
29939;LIBREVILLE;GAB;0.416;9.467
29947;LIMA;PER;-12.046;-77.043
29955;LISBOA;PRT;38.722;-9.139
29971;LONDRES;GBR;51.507;-0.128
29980;LOS ANGELES;USA;34.052;-118.244
29998;LUANDA;AGO;-8.839;13.234
30066;MADRI;ESP;40.417;-3.704
30074;MANAGUA;NIC;12.115;-86.236
30082;MANILA;PHL;14.599;120.984
30090;MAPUTO;MOZ;-25.966;32.581
30104;MEXICO;MEX;19.433;-99.133
30112;MIAMI;USA;25.762;-80.192
30120;MILAO;ITA;45.464;9.190
30139;MITSUKAIDO;JPN;36.011;139.994
30147;MONTEVIDEU;URY;-34.901;-56.164
30155;MONTREAL;CAN;45.502;-73.567
30163;MOSCOU;RUS;55.756;37.617
30171;MUMBAI;IND;19.076;72.878
30180;MUNIQUE;DEU;48.135;11.582
30198;NAGOIA;JPN;35.181;136.907
30201;NAIROBI;KEN;-1.286;36.817
30210;NOVA DELHI;IND;28.614;77.209
30228;NOVA YORK;USA;40.713;-74.006
30236;OIZUMI;JPN;36.248;139.404
30244;OSLO;NOR;59.914;10.752
30252;OTTAWA;CAN;45.421;-75.697
30260;PANAMA;PAN;8.984;-79.519
30279;PARAMARIBO;SUR;5.852;-55.204
30287;PARIS;FRA;48.857;2.352
30309;PEDRO JUAN CABALLERO;PRY;-22.547;-55.734
30317;PEQUIM;CHN;39.904;116.407
30325;PORT OF SPAIN;TTO;10.652;-61.518
30333;PORTO PRINCIPE;HTI;18.594;-72.307
30341;PORTO;PRT;41.158;-8.629
30350;PRAGA;CZE;50.076;14.438
30368;PRAIA;CPV;14.933;-23.513
30376;PRETORIA;ZAF;-25.746;28.188
30392;QUITO;ECU;-0.180;-78.468
30406;RABAT;MAR;34.021;-6.842
30414;RAMALLAH;PSE;31.898;35.204
30422;RIADE;SAU;24.713;46.675
30430;RIO BRANCO;URY;-32.567;-53.542
30449;ROMA;ITA;41.903;12.496
30457;AMSTERDA;NLD;52.374;4.890
30465;SALTO DEL GUAIRA;PRY;-24.058;-54.307
30473;SANTA CRUZ DE LA SIERRA;BOL;-17.784;-63.182
30481;SANTIAGO;CHL;-33.449;-70.669
30490;SAO DOMINGOS;DOM;18.486;-69.931
30503;SAO FRANCISCO;USA;37.775;-122.419
30511;SAO JOSE;CRI;9.928;-84.091
30520;SAO SALVADOR;SLV;13.692;-89.219
30538;SEUL;KOR;37.567;126.978
30546;SOFIA;BGR;42.698;23.322
30554;SUZUKA;JPN;34.882;136.584
30562;SYDNEY;AUS;-33.869;151.209
30570;TAIPE;TWN;25.033;121.565
30589;TAKAOKA;JPN;36.754;137.026
30597;TEERA;IRN;35.689;51.389
30600;TEGUCIGALPA;HND;14.072;-87.192
30619;TEL AVIV;ISR;32.085;34.781
30627;TOQUIO;JPN;35.690;139.692
30635;TORONTO;CAN;43.653;-79.383
30643;TOYOHASHI;JPN;34.769;137.391
30651;CANTAO;CHN;23.129;113.264
30708;TUNIS;TUN;36.807;10.181
30724;UEDA;JPN;36.402;138.249
30740;VARSOVIA;POL;52.230;21.012
30767;VIENA;AUT;48.209;16.373
30783;WASHINGTON;USA;38.907;-77.037
30805;WELLINGTON;NZL;-41.289;174.777
30821;WINDHOEK;NAM;-22.560;17.084
30848;XANGAI;CHN;31.230;121.474
30864;ZURIQUE;CHE;47.377;8.542
30880;DONGGUAN;CHN;23.021;113.752
30902;HARTFORD;USA;41.764;-72.685
30961;FARO;PRT;37.019;-7.930
38962;DAR ES SALAAM;TZA;-6.792;39.208
39004;MENDOZA;ARG;-32.890;-68.844
39020;ZAGREB;HRV;45.815;15.982
39063;VANCOUVER;CAN;49.283;-123.121
39080;ATLANTA;USA;33.749;-84.388
39102;MASCATE;OMN;23.588;58.408
39160;LIUBLIANA;SVN;46.056;14.506
39187;BRAZZAVILLE;COG;-4.264;15.243
39209;BRATISLAVA;SVK;48.146;17.107
39306;ISTAMBUL;TUR;41.008;28.978
39322;NICOSIA;CYP;35.186;33.383
98000;GUATEMALA;GTM;14.634;-90.507
98027;GUINE BISSAU;GNB;11.881;-15.598
98043;GANA;GHA;5.604;-0.187
98060;GABAO;GAB;0.416;9.467
98086;EGITO;EGY;30.044;31.236
98108;TURQUIA;TUR;39.933;32.860
98124;TUNISIA;TUN;36.807;10.181
98205;TAILANDIA;THA;13.756;100.502
98221;SIRIA;SYR;33.514;36.277
98248;SENEGAL;SEN;14.716;-17.467
98280;REPUBLICA DOMINICANA;DOM;18.486;-69.931
98329;PANAMA;PAN;8.984;-79.519
98345;NORUEGA;NOR;59.914;10.752
98361;NIGERIA;NGA;6.524;3.379
98388;NICARAGUA;NIC;12.115;-86.236
98426;FINLANDIA;FIN;60.170;24.938
98442;FILIPINAS;PHL;14.599;120.984
98469;EL SALVADOR;SLV;13.692;-89.219
98485;DINAMARCA;DNK;55.677;12.568
98507;COSTA RICA;CRI;9.928;-84.091
98523;CINGAPURA;SGP;1.352;103.820
98540;CHINA;CHN;39.904;116.407
98566;CHECOSLOVAQUIA;CZE;50.076;14.438
98582;COSTA DO MARFIM;CIV;5.360;-4.008
98604;CABO VERDE;CPV;14.933;-23.513
98647;ROMENIA;ROU;44.427;26.103
98728;EMIRADOS ARABES;ARE;24.453;54.377
98744;SUECIA;SWE;59.329;18.069
98760;RUSSIA;RUS;55.756;37.617
98787;AFRICA DO SUL;ZAF;-25.746;28.188
98825;INDIA;IND;28.614;77.209
98841;INGLATERRA;GBR;51.507;-0.128
98868;CUBA;CUB;23.113;-82.366
98906;CANADA;CAN;45.421;-75.697
98922;BELGICA;BEL;50.851;4.352
98949;AUSTRIA;AUT;48.209;16.373
98965;ANGOLA;AGO;-8.839;13.234
98981;AUSTRALIA;AUS;-35.281;149.129
99155;PUERTO IGUAZU;ARG;-25.599;-54.573
99180;NASSAU;BHS;25.048;-77.355
99287;LUSACA;ZMB;-15.387;28.323
99317;TALIN;EST;59.437;24.754
99430;KINGSTON;JAM;17.971;-76.793
99473;BAREIN;BHR;26.229;50.586
